style,price,rating,size,season,neck line,sleeve length,waiseline,material,pattern type,recommendation
casual,low,4.6,m,summer,o-neck,sleeveless,natural,cotton,striped,0
casual,average,4.7,l,spring,v-neck,half-sleeve,natural,null,print,1
casual,low,4.5,free,summer,o-neck,full,natural,cotton,solid,0
casual,average,4.7,m,summer,o-neck,sleeveless,natural,polyster,character,0
casual,low,4.5,m,winter,o-neck,short,natural,chiffon,solid,0
casual,low,4.7,s,summer,o-neck,full,natural,cotton,patchwork,0
cute,low,0,free,summer,boat-neck,sleeveless,null,cotton,print,0
party,very-high,5,m,spring,slash-neck,sleeveless,natural,chiffon,null,1
casual,average,4.9,m,autumn,v-neck,sleeveless,null,polyster,null,1
party,very-high,0,l,winter,v-neck,sleeveless,natural,polyster,null,0
casual,low,4.4,m,winter,v-neck,turndown-collor,null,cotton,null,1
party,very-high,0,m,spring,v-neck,threequarter,natural,lycra,null,1
party,high,0,m,winter,sweetheart,sleeveless,natural,null,null,0
party,high,0,m,spring,sweetheart,sleeveless,null,nylon,null,0
party,average,5,m,winter,o-neck,cap-sleeves,empire,polyster,null,1
party,high,4.7,m,winter,sweetheart,sleeveless,natural,null,null,0
party,very-high,4.9,m,spring,sweetheart,sleeveless,empire,null,null,1
party,high,4.6,m,winter,sweetheart,sleeveless,natural,null,null,0
party,average,5,m,spring,sweetheart,sleeveless,natural,polyster,null,1
party,very-high,4.8,l,spring,sweetheart,sleeveless,empire,microfiber,null,1
party,very-high,0,m,winter,sweetheart,sleeveless,natural,polyster,null,1
party,high,4.6,l,spring,slash-neck,sleeveless,empire,silk,null,0
party,average,4.6,s,winter,scoop,short,empire,null,null,0
party,very-high,4.9,m,spring,sweetheart,sleeveless,natural,silk,null,1
party,average,4.8,s,spring,v-neck,sleeveless,empire,null,null,1
party,very-high,4.1,m,winter,scoop,short,natural,cotton,null,1
party,very-high,0,m,winter,o-neck,full,natural,null,null,1
casual,high,4.6,m,summer,sweetheart,sleeveless,empire,null,null,1
party,average,4.7,free,winter,o-neck,sleeveless,null,polyster,null,0
party,very-high,4.7,l,winter,slash-neck,sleeveless,empire,viscos,null,1
party,average,4.7,free,spring,sweetheart,sleeveless,empire,rayon,solid,1
party,high,4.8,m,summer,sweetheart,sleeveless,princess,null,null,1
party,high,4.6,m,summer,slash-neck,sleeveless,natural,null,null,1
party,average,4.7,m,winter,o-neck,sleeveless,empire,cotton,null,1
cute,average,4.4,free,spring,sweetheart,sleeveless,empire,spandex,solid,1
party,very-high,4.8,free,spring,sweetheart,sleeveless,natural,polyster,null,1
party,average,4.8,m,spring,o-neck,sleeveless,natural,silk,null,1
party,average,0,free,winter,v-neck,short,empire,null,null,1
work,average,5,free,winter,o-neck,half-sleeve,null,microfiber,null,0
party,very-high,4.9,m,spring,v-neck,sleeveless,empire,null,null,1
casual,high,5,free,summer,v-neck,sleeveless,natural,nylon,null,1
casual,average,4.7,m,spring,o-neck,sleeveless,natural,cotton,null,1
party,average,0,m,spring,v-neck,sleeveless,natural,null,null,1
casual,average,4.4,free,summer,slash-neck,sleeveless,empire,cotton,null,1
casual,very-high,4.6,m,winter,o-neck,short,natural,null,null,1
casual,low,4.4,free,winter,halter,sleeveless,natural,null,null,1
casual,average,4.8,free,summer,o-neck,sleeveless,natural,null,null,0
sexy,average,5,m,summer,o-neck,sleeveless,natural,polyster,null,0
vintage,average,4.9,free,summer,o-neck,turndown-collor,empire,null,null,0
vintage,average,4.7,s,summer,turndown-collor,short,empire,cotton,null,0
work,average,4.9,m,summer,sqare-collor,half-sleeve,empire,polyster,null,0
casual,low,4.7,l,spring,o-neck,short,natural,chiffon,null,0
casual,average,4.8,l,autumn,o-neck,short,natural,cashmere,null,0
casual,average,0,s,winter,slash-neck,half-sleeve,natural,nylon,null,0
casual,average,4.2,s,winter,v-neck,sleeveless,empire,other,patchwork,0
novelty,average,0,free,summer,o-neck,full,natural,cotton,solid,0
casual,low,4.3,free,summer,backless,sleeveless,empire,chiffon,null,0
casual,average,3.7,m,summer,boat-neck,sleeveless,natural,linen,null,0
casual,average,5,free,winter,o-neck,sleeveless,natural,polyster,null,1
sexy,low,5,free,spring,v-neck,sleeveless,empire,null,null,0
cute,low,0,free,winter,o-neck,sleeveless,natural,null,null,0
vintage,average,4.8,m,summer,v-neck,full,natural,rayon,null,1
bohemian,average,4.8,l,winter,o-neck,sleeveless,natural,polyster,solid,0
bohemian,average,0,free,spring,o-neck,sleeveless,natural,rayon,striped,1
sexy,average,4.5,m,summer,bowneck,sleeveless,null,cotton,solid,0
novelty,average,4.2,m,winter,o-neck,half-sleeve,natural,polyster,animal,1
casual,low,5,free,spring,v-neck,full,natural,cotton,solid,1
casual,average,5,l,winter,o-neck,threequarter,natural,polyster,solid,0
casual,low,4.8,m,winter,v-neck,sleeveless,natural,polyster,print,0
bohemian,low,5,free,spring,o-neck,short,natural,nylon,print,1
casual,low,5,free,spring,bowneck,sleeveless,natural,silk,print,0
casual,low,5,m,spring,o-neck,sleeveless,natural,chiffon,solid,1
cute,average,4.3,m,summer,null,null,natural,cotton,solid,0
novelty,average,0,free,winter,o-neck,short,natural,polyster,null,1
cute,low,0,l,spring,o-neck,sleeveless,empire,null,null,1
sexy,low,4.8,free,spring,slash-neck,sleeveless,natural,cotton,solid,0
sexy,low,4.8,free,summer,slash-neck,sleeveless,empire,silk,solid,0
casual,low,4.4,m,winter,o-neck,sleeveless,natural,polyster,solid,0
casual,average,4.5,m,winter,o-neck,sleeveless,natural,polyster,striped,0
casual,low,4.7,s,summer,o-neck,full,natural,cotton,patchwork,0
casual,low,4.4,free,spring,o-neck,sleeveless,natural,polyster,print,0
work,average,4.9,m,winter,slash-neck,short,natural,polyster,solid,0
cute,average,4.6,free,spring,o-neck,short,natural,chiffon,solid,1
casual,low,4.7,free,spring,o-neck,half-sleeve,natural,silk,print,0
casual,low,4.7,m,winter,o-neck,full,empire,polyster,print,1
casual,average,4.8,m,spring,o-neck,sleeveless,natural,cotton,print,0
sexy,low,4.8,l,summer,o-neck,sleeveless,natural,cotton,solid,1
casual,average,4.7,xl,winter,v-neck,short,empire,milksilk,print,0
casual,low,0,l,winter,v-neck,full,null,null,solid,0
sexy,average,4.7,m,autumn,slash-neck,sleeveless,natural,nylon,solid,0
casual,low,4.7,free,winter,o-neck,sleeveless,natural,null,null,1
casual,high,0,l,winter,v-neck,full,null,polyster,solid,0
casual,low,4.7,l,summer,o-neck,sleeveless,natural,silk,patchwork,0
casual,average,4.7,free,summer,v-neck,full,natural,cotton,solid,0
casual,average,0,free,winter,v-neck,full,null,cashmere,solid,1
casual,low,4.7,free,summer,o-neck,cap-sleeves,natural,chiffon,print,1
casual,average,4.7,m,summer,o-neck,threequarter,null,chiffon,solid,0
sexy,low,4.5,free,summer,slash-neck,sleeveless,null,polyster,null,0
vintage,low,4,free,summer,turndown-collor,short,natural,cotton,solid,0
bohemian,low,5,free,summer,o-neck,sleeveless,empire,cotton,print,1
casual,low,4.7,s,winter,o-neck,sleeveless,natural,knitting,solid,0
sexy,average,4.5,s,winter,v-neck,sleeveless,null,polyster,null,0
cute,average,4.7,m,summer,o-neck,sleeveless,natural,chiffon,splice,0
vintage,low,0,free,summer,o-neck,sleeveless,natural,cotton,print,1
casual,average,4.1,l,winter,o-neck,sleeveless,natural,polyster,null,1
casual,average,4.2,m,winter,v-neck,full,empire,polyster,patchwork,1
brief,average,4.8,free,winter,v-neck,half-sleeve,natural,polyster,solid,0
brief,average,4.9,free,winter,o-neck,sleeveless,natural,null,solid,0
sexy,average,4.8,s,winter,v-neck,sleeveless,empire,polyster,solid,0
casual,average,4.7,l,winter,o-neck,sleeveless,natural,polyster,patchwork,0
vintage,average,4.7,m,summer,v-neck,short,natural,rayon,print,0
casual,average,4.8,free,summer,o-neck,sleeveless,natural,cotton,solid,0
sexy,low,4.7,m,winter,v-neck,sleeveless,natural,polyster,striped,0
casual,average,5,s,spring,turndown-collor,full,empire,cotton,solid,0
sexy,average,4.1,free,summer,v-neck,sleeveless,natural,cotton,null,1
casual,low,4,free,summer,v-neck,sleeveless,natural,cotton,print,0
cute,average,4.6,free,spring,v-neck,full,natural,cotton,solid,1
casual,low,5,m,spring,o-neck,sleeveless,natural,spandex,print,0
casual,average,4.7,m,autumn,v-neck,sleeveless,natural,null,striped,1
casual,low,4.6,free,winter,o-neck,full,natural,polyster,solid,0
casual,average,4.5,l,summer,o-neck,short,natural,cotton,solid,0
cute,average,4.6,m,autumn,o-neck,threequarter,natural,silk,print,0
casual,low,4.6,free,autumn,o-neck,half-sleeve,natural,chiffon,leopard,1
casual,low,4.7,l,summer,null,sleeveless,null,cotton,solid,1
sexy,low,0,l,summer,o-neck,sleeveless,empire,silk,striped,0
bohemian,average,4,free,winter,o-neck,sleeveless,natural,polyster,striped,0
casual,low,4.7,free,summer,o-neck,full,natural,cotton,solid,1
work,average,0,m,summer,v-neck,sleeveless,natural,cotton,solid,1
casual,average,0,m,spring,o-neck,half-sleeve,natural,null,null,0
brief,low,4.6,m,summer,o-neck,short,natural,cotton,animal,0
cute,low,0,free,spring,v-neck,sleeveless,empire,chiffon,null,1
casual,average,5,m,spring,o-neck,threequarter,null,spandex,null,0
casual,low,5,free,winter,o-neck,full,natural,wool,solid,0
vintage,average,4.5,l,winter,o-neck,short,empire,null,patchwork,1
casual,average,4.5,free,summer,o-neck,short,natural,polyster,solid,0
bohemian,low,4.4,l,summer,bowneck,short,natural,cotton,dot,0
casual,high,0,l,winter,v-neck,threequarter,natural,polyster,solid,1
casual,average,4.8,free,winter,o-neck,sleeveless,null,polyster,solid,0
brief,low,4.7,m,winter,o-neck,full,natural,cotton,patchwork,0
casual,average,0,free,winter,bowneck,full,null,cashmere,solid,1
casual,average,4.7,m,winter,o-neck,short,empire,polyster,animal,0
party,average,0,m,summer,o-neck,full,natural,cotton,patchwork,1
bohemian,average,4.8,s,summer,v-neck,short,natural,cotton,solid,0
sexy,average,4.9,free,summer,sqare-collor,sleeveless,natural,polyster,print,0
casual,average,3,m,spring,turndown-collor,short,empire,polyster,patchwork,0
casual,low,4.7,l,autumn,o-neck,short,natural,polyster,patchwork,1
casual,average,4.3,m,autumn,o-neck,sleeveless,natural,polyster,solid,0
casual,average,0,xl,winter,v-neck,short,empire,polyster,solid,1
casual,low,5,free,summer,o-neck,sleeveless,natural,modal,solid,1
vintage,average,0,l,summer,sqare-collor,short,empire,cotton,dot,1
casual,low,4.7,free,winter,o-neck,sleeveless,natural,milksilk,animal,0
vintage,average,5,m,summer,v-neck,threequarter,natural,polyster,print,0
casual,low,4.7,l,summer,o-neck,full,natural,mix,patchwork,1
bohemian,average,4.6,m,spring,o-neck,sleeveless,natural,chiffon,solid,0
party,average,4.8,m,summer,o-neck,full,null,cotton,solid,1
bohemian,low,4.6,free,summer,v-neck,sleeveless,natural,cotton,solid,0
party,very-high,4.6,free,summer,o-neck,sleeveless,empire,rayon,solid,0
cute,low,4.8,m,spring,o-neck,short,natural,chiffon,dot,1
vintage,average,0,m,spring,o-neck,half-sleeve,empire,polyster,animal,0
casual,average,4.9,l,winter,o-neck,short,natural,cotton,solid,0
casual,average,4.2,free,summer,o-neck,sleeveless,natural,cotton,striped,1
casual,average,4.9,m,summer,o-neck,short,dropped,cotton,patchwork,0
bohemian,low,5,xl,spring,v-neck,threequarter,natural,null,print,1
casual,average,4.7,m,summer,o-neck,sleeveless,null,cotton,dot,0
casual,average,0,free,summer,bowneck,half-sleeve,null,cotton,null,0
casual,average,0,free,summer,o-neck,sleeveless,natural,cotton,floral,0
sexy,average,0,free,winter,o-neck,sleeveless,natural,polyster,solid,0
sexy,low,4.4,free,autumn,v-neck,sleeveless,natural,cotton,solid,0
sexy,average,0,free,spring,v-neck,full,natural,cotton,solid,1
brief,average,4.9,xl,spring,slash-neck,full,natural,null,solid,0
casual,average,4.7,xl,summer,v-neck,half-sleeve,natural,null,print,1
casual,average,0,free,autumn,v-neck,full,natural,cotton,solid,0
casual,average,4.8,m,summer,v-neck,full,natural,null,null,0
casual,average,4.9,l,spring,sqare-collor,sleeveless,empire,null,print,0
party,average,4.7,m,spring,o-neck,half-sleeve,empire,null,patchwork,0
sexy,low,4.4,free,summer,bowneck,sleeveless,natural,viscos,solid,0
bohemian,low,4.6,free,winter,o-neck,sleeveless,empire,polyster,patchwork,1
casual,low,4.6,free,autumn,o-neck,full,natural,rayon,solid,1
sexy,low,4.5,free,summer,o-neck,sleeveless,empire,cotton,solid,1
sexy,low,0,free,winter,v-neck,null,dropped,cotton,null,1
casual,average,0,xl,spring,bowneck,sleeveless,natural,mix,solid,0
sexy,average,0,free,autumn,o-neck,full,natural,polyster,solid,0
sexy,low,4.8,free,spring,v-neck,sleeveless,natural,null,striped,1
brief,low,4.7,free,autumn,o-neck,sleeveless,natural,null,solid,0
sexy,high,5,m,summer,v-neck,sleeveless,natural,mix,striped,0
casual,average,4.6,l,summer,bowneck,full,dropped,cotton,patchwork,0
cute,average,4.9,s,summer,bowneck,sleeveless,empire,null,patchwork,1
novelty,average,4.9,m,autumn,o-neck,short,natural,polyster,print,0
casual,low,4.3,free,spring,o-neck,full,null,null,none,1
casual,low,4.7,s,autumn,o-neck,sleeveless,natural,cotton,solid,0
casual,average,4.8,l,autumn,boat-neck,sleeveless,natural,null,solid,0
cute,average,4.5,l,winter,v-neck,sleeveless,natural,polyster,solid,1
casual,average,4.4,free,summer,o-neck,cap-sleeves,natural,cotton,solid,0
party,average,0,m,spring,o-neck,sleeveless,null,null,solid,1
sexy,low,0,free,summer,v-neck,sleeveless,dropped,null,null,1
casual,low,4.8,l,summer,v-neck,threequarter,natural,cotton,print,0
work,average,5,m,summer,o-neck,sleeveless,natural,null,solid,1
novelty,average,5,free,summer,o-neck,sleeveless,natural,null,print,0
casual,low,4.6,free,spring,v-neck,sleeveless,natural,silk,solid,0
casual,average,4.5,m,summer,o-neck,full,natural,cotton,solid,0
casual,average,4.5,l,spring,boat-neck,threequarter,natural,null,animal,1
casual,average,4.5,free,autumn,o-neck,half-sleeve,natural,cotton,solid,1
party,average,4.9,m,winter,o-neck,half-sleeve,null,cotton,null,1
casual,low,4.4,l,summer,o-neck,sleeveless,natural,cotton,solid,0
casual,average,4.3,m,winter,slash-neck,sleeveless,natural,polyster,solid,0
cute,average,4.7,l,summer,o-neck,sleeveless,natural,polyster,solid,0
casual,low,4.4,free,summer,o-neck,sleeveless,null,null,animal,0
cute,high,4.3,m,spring,boat-neck,full,natural,polyster,solid,1
work,average,4.8,m,winter,turndown-collor,full,natural,null,solid,0
casual,average,4.6,m,spring,o-neck,half-sleeve,natural,polyster,solid,0
sexy,low,0,free,summer,v-neck,sleeveless,empire,cotton,solid,0
casual,high,4.9,xl,winter,v-neck,full,empire,cotton,solid,0
sexy,low,0,free,winter,o-neck,sleeveless,natural,lycra,solid,0
cute,average,5,m,autumn,v-neck,sleeveless,natural,cotton,solid,0
cute,low,0,free,spring,v-neck,sleeveless,natural,silk,patchwork,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,solid,0
casual,average,0,l,spring,o-neck,sleeveless,natural,chiffon,solid,0
cute,average,4.7,m,spring,o-neck,full,natural,rayon,solid,1
casual,average,4.6,m,winter,v-neck,half-sleeve,natural,silk,solid,1
casual,low,4.4,free,summer,o-neck,full,natural,cotton,solid,1
casual,low,5,m,autumn,o-neck,sleeveless,empire,null,print,1
casual,average,0,free,winter,o-neck,short,natural,polyster,solid,0
sexy,average,0,free,winter,slash-neck,sleeveless,natural,cotton,solid,1
casual,low,4.4,m,summer,o-neck,half-sleeve,empire,chiffon,solid,0
cute,average,0,l,summer,o-neck,sleeveless,empire,cotton,solid,1
casual,low,4.8,free,winter,bowneck,full,natural,polyster,solid,0
casual,average,5,l,summer,o-neck,sleeveless,natural,cotton,null,1
cute,average,4.6,m,spring,o-neck,half-sleeve,natural,acrylic,null,0
bohemian,low,4.6,free,summer,o-neck,sleeveless,natural,cotton,solid,1
brief,average,4.7,m,winter,o-neck,half-sleeve,natural,acrylic,striped,0
casual,low,4.7,m,spring,o-neck,full,natural,polyster,solid,1
sexy,low,4.3,free,summer,o-neck,full,empire,cotton,null,0
casual,average,4.7,m,summer,v-neck,full,empire,cotton,solid,1
casual,average,4.6,l,winter,boat-neck,sleeveless,empire,silk,print,1
casual,low,4.4,free,summer,v-neck,short,empire,cotton,solid,0
